ID of herb pairs,herb pairs
0,莪术 三棱
1,莪术 延胡索
2,红花 乳香
3,红花 苏木
4,乳香 皂角刺
5,牛膝 益母草
6,川芎 香附
7,川芎 槐角
8,川芎 当归
9,川芎 黄芪
10,川芎 羌活
11,川芎 蔓荆子
12,乳香 枳壳
13,川芎 枳壳
14,牛膝 生地黄
15,莪术 附子
16,桃仁 葶苈子
17,川芎 生地黄
18,牛膝 蒲公英
19,荷叶 红花
20,大黄 血竭
21,蒲黄 血竭
22,大黄 三棱
23,香附 益母草
24,当归 益母草
25,生地黄 益母草
26,小蓟 益母草
27,八角茴香 桃仁
28,瓜蒌 乳香
29,当归 郁金
30,人参 苏木
31,蒲黄 郁金
32,荆芥 桃仁
33,沉香 乳香
34,何首乌 牛膝
35,防己 泽兰
36,草乌 牛膝
37,干姜 桃仁
38,大黄 桃仁
39,大黄 郁金
40,桂枝 姜黄
41,丹参 葛根
42,丹参 香附
43,当归 桃仁
44,川芎 乌药
45,川芎 丹参
94,三棱 莪术
95,延胡索 莪术
96,乳香 红花
97,苏木 红花
98,皂角刺 乳香
99,益母草 牛膝
100,香附 川芎
101,槐角 川芎
102,当归 川芎
103,黄芪 川芎
104,羌活 川芎
105,蔓荆子 川芎
106,枳壳 乳香
107,枳壳 川芎
108,生地黄 牛膝
109,附子 莪术
110,葶苈子 桃仁
111,生地黄 川芎
112,蒲公英 牛膝
113,红花 荷叶
114,血竭 大黄
115,血竭 蒲黄
116,三棱 大黄
117,益母草 香附
118,益母草 当归
119,益母草 生地黄
120,益母草 小蓟
121,桃仁 八角茴香
122,乳香 瓜蒌
123,郁金 当归
124,苏木 人参
125,郁金 蒲黄
126,桃仁 荆芥
127,乳香 沉香
128,牛膝 何首乌
129,泽兰 防己
130,牛膝 草乌
131,桃仁 干姜
132,桃仁 大黄
133,郁金 大黄
134,姜黄 桂枝
135,葛根 丹参
136,香附 丹参
137,桃仁 当归
138,乌药 川芎
139,丹参 川芎
