药对索引,药对,中药1_中药材名称,中药1_性,中药1_味,中药1_归经,中药2_中药材名称,中药2_性,中药2_味,中药2_归经
0,莪术 三棱,莪术,温,"辛,苦","肝,脾",三棱,平,"辛,苦","肝,脾"
1,莪术 延胡索,莪术,温,"辛,苦","肝,脾",延胡索,温,"辛,苦","肝,脾"
2,红花 乳香,红花,温,辛,"心,肝",乳香,温,"辛,苦","心,肝,脾"
3,红花 苏木,红花,温,辛,"心,肝",苏木,平,"甘,咸","心,肝,脾"
4,乳香 皂角刺,乳香,温,"辛,苦","心,肝,脾",皂角刺,温,辛,"肝,胃"
5,牛膝 益母草,牛膝,平,"苦,甘,酸","肝,肾",益母草,寒,"苦,辛","肝,心包,膀胱"
6,川芎 香附,川芎,温,辛,"肝,胆,心包",香附,平,"辛,苦,甘","肝,脾,三焦"
7,川芎 槐角,川芎,温,辛,"肝,胆,心包",槐角,寒,苦,"肝,大肠"
8,川芎 当归,川芎,温,辛,"肝,胆,心包",当归,温,"甘,辛","肝,心,脾"
9,川芎 黄芪,川芎,温,辛,"肝,胆,心包",黄芪,温,甘,"肺,脾"
10,川芎 羌活,川芎,温,辛,"肝,胆,心包",羌活,温,"辛,苦","膀胱,肾"
11,川芎 蔓荆子,川芎,温,辛,"肝,胆,心包",蔓荆子,寒,"辛,苦","膀胱,肝,胃"
12,乳香 枳壳,乳香,温,"辛,苦","心,肝,脾",枳壳,寒,"苦,辛,酸","脾,胃"
13,川芎 枳壳,川芎,温,辛,"肝,胆,心包",枳壳,寒,"苦,辛,酸","脾,胃"
14,牛膝 生地黄,牛膝,平,"苦,甘,酸","肝,肾",生地黄,寒,甘,"心,肝,肾"
15,莪术 附子,莪术,温,"辛,苦","肝,脾",附子,热,"辛,甘","心,肾,脾"
16,桃仁 葶苈子,桃仁,平,"苦,甘","心,肝,大肠",葶苈子,寒,"辛,苦","肺,膀胱"
17,川芎 生地黄,川芎,温,辛,"肝,胆,心包",生地黄,寒,甘,"心,肝,肾"
18,牛膝 蒲公英,牛膝,平,"苦,甘,酸","肝,肾",蒲公英,寒,"苦,甘","肝,胃"
19,荷叶 红花,荷叶,平,苦,"肝,脾,胃",红花,温,辛,"心,肝"
20,大黄 血竭,大黄,寒,苦,"脾,胃,大肠,肝,心包",血竭,平,"甘,咸","心,肝"
21,蒲黄 血竭,蒲黄,平,甘,"肝,心包",血竭,平,"甘,咸","心,肝"
22,大黄 三棱,大黄,寒,苦,"脾,胃,大肠,肝,心包",三棱,平,"辛,苦","肝,脾"
23,香附 益母草,香附,平,"辛,苦,甘","肝,脾,三焦",益母草,寒,"苦,辛","肝,心包,膀胱"
24,当归 益母草,当归,温,"甘,辛","肝,心,脾",益母草,寒,"苦,辛","肝,心包,膀胱"
25,生地黄 益母草,生地黄,寒,甘,"心,肝,肾",益母草,寒,"苦,辛","肝,心包,膀胱"
26,小蓟 益母草,小蓟,凉,"甘,苦","心,肝",益母草,寒,"苦,辛","肝,心包,膀胱"
27,八角茴香 桃仁,八角茴香,温,辛,"肝,肾,脾,胃",桃仁,平,"苦,甘","心,肝,大肠"
28,瓜蒌 乳香,瓜蒌,寒,"甘,苦","肺,胃,大肠",乳香,温,"辛,苦","心,肝,脾"
29,当归 郁金,当归,温,"甘,辛","肝,心,脾",郁金,寒,"辛,苦","肝,心,肺"
30,人参 苏木,人参,温,"甘,苦","脾,肺,心,肾",苏木,平,"甘,咸","心,肝,脾"
31,蒲黄 郁金,蒲黄,平,甘,"肝,心包",郁金,寒,"辛,苦","肝,心,肺"
32,荆芥 桃仁,荆芥,温,辛,"肺,肝",桃仁,平,"苦,甘","心,肝,大肠"
33,沉香 乳香,沉香,温,"辛,苦","脾,胃,肾",乳香,温,"辛,苦","心,肝,脾"
34,何首乌 牛膝,何首乌,温,"苦,甘,涩","肝,心,肾",牛膝,平,"苦,甘,酸","肝,肾"
35,防己 泽兰,防己,寒,苦,"膀胱,肺",泽兰,温,"苦,辛","肝,脾"
36,草乌 牛膝,草乌,热,"辛,苦","心,肝,肾,脾",牛膝,平,"苦,甘,酸","肝,肾"
37,干姜 桃仁,干姜,热,辛,"脾,胃,肾,心,肺",桃仁,平,"苦,甘","心,肝,大肠"
38,大黄 桃仁,大黄,寒,苦,"脾,胃,大肠,肝,心包",桃仁,平,"苦,甘","心,肝,大肠"
39,大黄 郁金,大黄,寒,苦,"脾,胃,大肠,肝,心包",郁金,寒,"辛,苦","肝,心,肺"
40,桂枝 姜黄,桂枝,温,"辛,甘","心,肺,膀胱",姜黄,温,"辛,苦","脾,肝"
41,丹参 葛根,丹参,寒,苦,"心,肝",葛根,凉,"甘,辛","脾,胃,肺"
42,丹参 香附,丹参,寒,苦,"心,肝",香附,平,"辛,苦,甘","肝,脾,三焦"
43,当归 桃仁,当归,温,"甘,辛","肝,心,脾",桃仁,平,"苦,甘","心,肝,大肠"
44,川芎 乌药,川芎,温,辛,"肝,胆,心包",乌药,温,辛,"肺,脾,肾,膀胱"
45,川芎 丹参,川芎,温,辛,"肝,胆,心包",丹参,寒,苦,"心,肝"
94,三棱 莪术,三棱,平,"辛,苦","肝,脾",莪术,温,"辛,苦","肝,脾"
95,延胡索 莪术,延胡索,温,"辛,苦","肝,脾",莪术,温,"辛,苦","肝,脾"
96,乳香 红花,乳香,温,"辛,苦","心,肝,脾",红花,温,辛,"心,肝"
97,苏木 红花,苏木,平,"甘,咸","心,肝,脾",红花,温,辛,"心,肝"
98,皂角刺 乳香,皂角刺,温,辛,"肝,胃",乳香,温,"辛,苦","心,肝,脾"
99,益母草 牛膝,益母草,寒,"苦,辛","肝,心包,膀胱",牛膝,平,"苦,甘,酸","肝,肾"
100,香附 川芎,香附,平,"辛,苦,甘","肝,脾,三焦",川芎,温,辛,"肝,胆,心包"
101,槐角 川芎,槐角,寒,苦,"肝,大肠",川芎,温,辛,"肝,胆,心包"
102,当归 川芎,当归,温,"甘,辛","肝,心,脾",川芎,温,辛,"肝,胆,心包"
103,黄芪 川芎,黄芪,温,甘,"肺,脾",川芎,温,辛,"肝,胆,心包"
104,羌活 川芎,羌活,温,"辛,苦","膀胱,肾",川芎,温,辛,"肝,胆,心包"
105,蔓荆子 川芎,蔓荆子,寒,"辛,苦","膀胱,肝,胃",川芎,温,辛,"肝,胆,心包"
106,枳壳 乳香,枳壳,寒,"苦,辛,酸","脾,胃",乳香,温,"辛,苦","心,肝,脾"
107,枳壳 川芎,枳壳,寒,"苦,辛,酸","脾,胃",川芎,温,辛,"肝,胆,心包"
108,生地黄 牛膝,生地黄,寒,甘,"心,肝,肾",牛膝,平,"苦,甘,酸","肝,肾"
109,附子 莪术,附子,热,"辛,甘","心,肾,脾",莪术,温,"辛,苦","肝,脾"
110,葶苈子 桃仁,葶苈子,寒,"辛,苦","肺,膀胱",桃仁,平,"苦,甘","心,肝,大肠"
111,生地黄 川芎,生地黄,寒,甘,"心,肝,肾",川芎,温,辛,"肝,胆,心包"
112,蒲公英 牛膝,蒲公英,寒,"苦,甘","肝,胃",牛膝,平,"苦,甘,酸","肝,肾"
113,红花 荷叶,红花,温,辛,"心,肝",荷叶,平,苦,"肝,脾,胃"
114,血竭 大黄,血竭,平,"甘,咸","心,肝",大黄,寒,苦,"脾,胃,大肠,肝,心包"
115,血竭 蒲黄,血竭,平,"甘,咸","心,肝",蒲黄,平,甘,"肝,心包"
116,三棱 大黄,三棱,平,"辛,苦","肝,脾",大黄,寒,苦,"脾,胃,大肠,肝,心包"
117,益母草 香附,益母草,寒,"苦,辛","肝,心包,膀胱",香附,平,"辛,苦,甘","肝,脾,三焦"
118,益母草 当归,益母草,寒,"苦,辛","肝,心包,膀胱",当归,温,"甘,辛","肝,心,脾"
119,益母草 生地黄,益母草,寒,"苦,辛","肝,心包,膀胱",生地黄,寒,甘,"心,肝,肾"
120,益母草 小蓟,益母草,寒,"苦,辛","肝,心包,膀胱",小蓟,凉,"甘,苦","心,肝"
121,桃仁 八角茴香,桃仁,平,"苦,甘","心,肝,大肠",八角茴香,温,辛,"肝,肾,脾,胃"
122,乳香 瓜蒌,乳香,温,"辛,苦","心,肝,脾",瓜蒌,寒,"甘,苦","肺,胃,大肠"
123,郁金 当归,郁金,寒,"辛,苦","肝,心,肺",当归,温,"甘,辛","肝,心,脾"
124,苏木 人参,苏木,平,"甘,咸","心,肝,脾",人参,温,"甘,苦","脾,肺,心,肾"
125,郁金 蒲黄,郁金,寒,"辛,苦","肝,心,肺",蒲黄,平,甘,"肝,心包"
126,桃仁 荆芥,桃仁,平,"苦,甘","心,肝,大肠",荆芥,温,辛,"肺,肝"
127,乳香 沉香,乳香,温,"辛,苦","心,肝,脾",沉香,温,"辛,苦","脾,胃,肾"
128,牛膝 何首乌,牛膝,平,"苦,甘,酸","肝,肾",何首乌,温,"苦,甘,涩","肝,心,肾"
129,泽兰 防己,泽兰,温,"苦,辛","肝,脾",防己,寒,苦,"膀胱,肺"
130,牛膝 草乌,牛膝,平,"苦,甘,酸","肝,肾",草乌,热,"辛,苦","心,肝,肾,脾"
131,桃仁 干姜,桃仁,平,"苦,甘","心,肝,大肠",干姜,热,辛,"脾,胃,肾,心,肺"
132,桃仁 大黄,桃仁,平,"苦,甘","心,肝,大肠",大黄,寒,苦,"脾,胃,大肠,肝,心包"
133,郁金 大黄,郁金,寒,"辛,苦","肝,心,肺",大黄,寒,苦,"脾,胃,大肠,肝,心包"
134,姜黄 桂枝,姜黄,温,"辛,苦","脾,肝",桂枝,温,"辛,甘","心,肺,膀胱"
135,葛根 丹参,葛根,凉,"甘,辛","脾,胃,肺",丹参,寒,苦,"心,肝"
136,香附 丹参,香附,平,"辛,苦,甘","肝,脾,三焦",丹参,寒,苦,"心,肝"
137,桃仁 当归,桃仁,平,"苦,甘","心,肝,大肠",当归,温,"甘,辛","肝,心,脾"
138,乌药 川芎,乌药,温,辛,"肺,脾,肾,膀胱",川芎,温,辛,"肝,胆,心包"
139,丹参 川芎,丹参,寒,苦,"心,肝",川芎,温,辛,"肝,胆,心包"
