ID of herb pairs,herb pairs
40,薄荷 防风
41,防风 葛根
42,葛根 荆芥
43,柴胡 甘草
44,薄荷 荆芥
45,大黄 黄连
46,黄芩 栀子
47,知母 黄柏
48,升麻 黄连
49,芦根 白茅根
50,龙胆 栀子
51,黄连 龙胆
52,苦参 龙胆
53,连翘 木通
54,黄连 木通
55,黄柏 黄连
56,大黄 栀子
57,黄连 栀子
58,黄连 黄芩
59,胡黄连 黄连
60,金银花 夏枯草
61,金银花 蒲公英
62,甘草 金银花
63,板蓝根 甘草
64,板蓝根 紫草
65,菊花 紫花地丁
66,射干 升麻
67,甘草 菊花
68,白芷 大黄
69,大黄 金银花
70,大青叶 黄连
71,甘草 夏枯草
72,黄芩 升麻
73,大黄 黄芩
74,麦冬 玄参
75,石斛 玄参
76,生地黄 玄参
77,大青叶 生地黄
78,地骨皮 生地黄
79,黄连 麦冬
80,黄连 生地黄
81,钩藤 紫草
82,苍术 黄柏
83,独活 黄柏
84,厚朴 黄连
85,苍术 地榆
86,黄连 苦参
87,黄柏 苦参
128,防风 薄荷
129,葛根 防风
130,荆芥 葛根
131,甘草 柴胡
132,荆芥 薄荷
133,黄连 大黄
134,栀子 黄芩
135,黄柏 知母
136,黄连 升麻
137,白茅根 芦根
138,栀子 龙胆
139,龙胆 黄连
140,龙胆 苦参
141,木通 连翘
142,木通 黄连
143,黄连 黄柏
144,栀子 大黄
145,栀子 黄连
146,黄芩 黄连
147,黄连 胡黄连
148,夏枯草 金银花
149,蒲公英 金银花
150,金银花 甘草
151,甘草 板蓝根
152,紫草 板蓝根
153,紫花地丁 菊花
154,升麻 射干
155,菊花 甘草
156,大黄 白芷
157,金银花 大黄
158,黄连 大青叶
159,夏枯草 甘草
160,升麻 黄芩
161,黄芩 大黄
162,玄参 麦冬
163,玄参 石斛
164,玄参 生地黄
165,生地黄 大青叶
166,生地黄 地骨皮
167,麦冬 黄连
168,生地黄 黄连
169,紫草 钩藤
170,黄柏 苍术
171,黄柏 独活
172,黄连 厚朴
173,地榆 苍术
174,苦参 黄连
175,苦参 黄柏
