药对索引,药对,中药1_中药材名称,中药1_性,中药1_味,中药1_归经,中药2_中药材名称,中药2_性,中药2_味,中药2_归经
40,薄荷 防风,薄荷,凉,辛,"肺,肝",防风,温,"辛,甘","膀胱,肝,脾"
41,防风 葛根,防风,温,"辛,甘","膀胱,肝,脾",葛根,凉,"甘,辛","脾,胃,肺"
42,葛根 荆芥,葛根,凉,"甘,辛","脾,胃,肺",荆芥,温,辛,"肺,肝"
43,柴胡 甘草,柴胡,寒,"辛,苦","肝,胆,肺",甘草,平,甘,"心,肺,脾,胃"
44,薄荷 荆芥,薄荷,凉,辛,"肺,肝",荆芥,温,辛,"肺,肝"
45,大黄 黄连,大黄,寒,苦,"脾,胃,大肠,肝,心包",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
46,黄芩 栀子,黄芩,寒,苦,"肺,胆,脾,大肠,小肠",栀子,寒,苦,"心,肺,三焦"
47,知母 黄柏,知母,寒,"苦,甘","肺,胃,肾",黄柏,寒,苦,"肾,膀胱"
48,升麻 黄连,升麻,寒,"辛,甘","肺,脾,胃,大肠",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
49,芦根 白茅根,芦根,寒,甘,"肺,胃",白茅根,寒,甘,"肺,胃,膀胱"
50,龙胆 栀子,龙胆,寒,苦,"肝,胆",栀子,寒,苦,"心,肺,三焦"
51,黄连 龙胆,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",龙胆,寒,苦,"肝,胆"
52,苦参 龙胆,苦参,寒,苦,"心,肝,胃,大肠,膀胱",龙胆,寒,苦,"肝,胆"
53,连翘 木通,连翘,寒,苦,"肺,心,小肠",木通,寒,苦,"心,小肠,膀胱"
54,黄连 木通,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",木通,寒,苦,"心,小肠,膀胱"
55,黄柏 黄连,黄柏,寒,苦,"肾,膀胱",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
56,大黄 栀子,大黄,寒,苦,"脾,胃,大肠,肝,心包",栀子,寒,苦,"心,肺,三焦"
57,黄连 栀子,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",栀子,寒,苦,"心,肺,三焦"
58,黄连 黄芩,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",黄芩,寒,苦,"肺,胆,脾,大肠,小肠"
59,胡黄连 黄连,胡黄连,寒,苦,"肝,胃,大肠",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
60,金银花 夏枯草,金银花,寒,甘,"肺,心,胃",夏枯草,寒,"辛,苦","肝,胆"
61,金银花 蒲公英,金银花,寒,甘,"肺,心,胃",蒲公英,寒,"苦,甘","肝,胃"
62,甘草 金银花,甘草,平,甘,"心,肺,脾,胃",金银花,寒,甘,"肺,心,胃"
63,板蓝根 甘草,板蓝根,寒,苦,"心,胃",甘草,平,甘,"心,肺,脾,胃"
64,板蓝根 紫草,板蓝根,寒,苦,"心,胃",紫草,寒,"甘,咸","心,肝"
65,菊花 紫花地丁,菊花,寒,"甘,苦","肺,肝",紫花地丁,寒,"苦,辛","心,肝"
66,射干 升麻,射干,寒,苦,肺,升麻,寒,"辛,甘","肺,脾,胃,大肠"
67,甘草 菊花,甘草,平,甘,"心,肺,脾,胃",菊花,寒,"甘,苦","肺,肝"
68,白芷 大黄,白芷,温,辛,"胃,大肠,肺",大黄,寒,苦,"脾,胃,大肠,肝,心包"
69,大黄 金银花,大黄,寒,苦,"脾,胃,大肠,肝,心包",金银花,寒,甘,"肺,心,胃"
70,大青叶 黄连,大青叶,寒,苦,"心,胃",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
71,甘草 夏枯草,甘草,平,甘,"心,肺,脾,胃",夏枯草,寒,"辛,苦","肝,胆"
72,黄芩 升麻,黄芩,寒,苦,"肺,胆,脾,大肠,小肠",升麻,寒,"辛,甘","肺,脾,胃,大肠"
73,大黄 黄芩,大黄,寒,苦,"脾,胃,大肠,肝,心包",黄芩,寒,苦,"肺,胆,脾,大肠,小肠"
74,麦冬 玄参,麦冬,寒,"甘,苦","心,肺,胃",玄参,寒,"甘,苦,咸","胃,肺,肾"
75,石斛 玄参,石斛,寒,甘,"胃,肾",玄参,寒,"甘,苦,咸","胃,肺,肾"
76,生地黄 玄参,生地黄,寒,甘,"心,肝,肾",玄参,寒,"甘,苦,咸","胃,肺,肾"
77,大青叶 生地黄,大青叶,寒,苦,"心,胃",生地黄,寒,甘,"心,肝,肾"
78,地骨皮 生地黄,地骨皮,寒,甘,"肺,肝,肾",生地黄,寒,甘,"心,肝,肾"
79,黄连 麦冬,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",麦冬,寒,"甘,苦","心,肺,胃"
80,黄连 生地黄,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",生地黄,寒,甘,"心,肝,肾"
81,钩藤 紫草,钩藤,凉,甘,"肝,心包",紫草,寒,"甘,咸","心,肝"
82,苍术 黄柏,苍术,温,"辛,苦","脾,胃,肝",黄柏,寒,苦,"肾,膀胱"
83,独活 黄柏,独活,温,"辛,苦","肾,膀胱",黄柏,寒,苦,"肾,膀胱"
84,厚朴 黄连,厚朴,温,"苦,辛","脾,胃,肺,大肠",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
85,苍术 地榆,苍术,温,"辛,苦","脾,胃,肝",地榆,寒,"苦,酸","肝,大肠"
86,黄连 苦参,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",苦参,寒,苦,"心,肝,胃,大肠,膀胱"
87,黄柏 苦参,黄柏,寒,苦,"肾,膀胱",苦参,寒,苦,"心,肝,胃,大肠,膀胱"
128,防风 薄荷,防风,温,"辛,甘","膀胱,肝,脾",薄荷,凉,辛,"肺,肝"
129,葛根 防风,葛根,凉,"甘,辛","脾,胃,肺",防风,温,"辛,甘","膀胱,肝,脾"
