ID of herb pairs,herb pairs
0,苦杏仁 麻黄
1,草豆蔻 吴茱萸
2,甘草 干姜
3,甘草 桂枝
4,白术 人参
5,黄芪 人参
6,桂枝 麻黄
7,附子 干姜
8,杜仲 续断
9,当归 肉桂
10,白术 肉桂
11,附子 生姜
12,川芎 羌活
13,补骨脂 人参
14,附子 肉桂
15,麻黄 肉桂
16,肉桂 石菖蒲
17,草乌 小茴香
18,补骨脂 杜仲
19,杜仲 五味子
20,杜仲 菟丝子
21,巴戟天 菟丝子
22,菟丝子 五味子
23,枸杞子 菟丝子
24,桂枝 吴茱萸
25,当归 附子
26,人参 吴茱萸
27,茯苓 吴茱萸
28,花椒 吴茱萸
29,当归 吴茱萸
30,吴茱萸 五味子
31,附子 桂枝
32,干姜 桂枝
33,桂枝 薤白
34,桂枝 黄芪
35,附子 麻黄
36,吴茱萸 细辛
37,花椒 小茴香
38,附子 细辛
39,肉桂 小茴香
81,麻黄 苦杏仁
82,吴茱萸 草豆蔻
83,干姜 甘草
84,桂枝 甘草
85,人参 白术
86,人参 黄芪
87,麻黄 桂枝
88,干姜 附子
89,续断 杜仲
90,肉桂 当归
91,肉桂 白术
92,生姜 附子
93,羌活 川芎
94,人参 补骨脂
95,肉桂 附子
96,肉桂 麻黄
97,石菖蒲 肉桂
98,小茴香 草乌
99,杜仲 补骨脂
100,五味子 杜仲
101,菟丝子 杜仲
102,菟丝子 巴戟天
103,五味子 菟丝子
104,菟丝子 枸杞子
105,吴茱萸 桂枝
106,附子 当归
107,吴茱萸 人参
108,吴茱萸 茯苓
109,吴茱萸 花椒
110,吴茱萸 当归
111,五味子 吴茱萸
112,桂枝 附子
113,桂枝 干姜
114,薤白 桂枝
115,黄芪 桂枝
116,麻黄 附子
117,细辛 吴茱萸
118,小茴香 花椒
119,细辛 附子
120,小茴香 肉桂
