药对索引,药对,中药1_中药材名称,中药1_性,中药1_味,中药1_归经,中药2_中药材名称,中药2_性,中药2_味,中药2_归经
0,苦杏仁 麻黄,苦杏仁,温,苦,"肺,大肠",麻黄,温,"辛,苦","肺,膀胱"
1,草豆蔻 吴茱萸,草豆蔻,温,辛,"脾,胃",吴茱萸,热,"辛,苦","肝,脾,胃,肾"
2,甘草 干姜,甘草,平,甘,"心,肺,脾,胃",干姜,热,辛,"脾,胃,肾,心,肺"
3,甘草 桂枝,甘草,平,甘,"心,肺,脾,胃",桂枝,温,"辛,甘","心,肺,膀胱"
4,白术 人参,白术,温,"苦,甘","脾,胃",人参,温,"甘,苦","脾,肺,心,肾"
5,黄芪 人参,黄芪,温,甘,"肺,脾",人参,温,"甘,苦","脾,肺,心,肾"
6,桂枝 麻黄,桂枝,温,"辛,甘","心,肺,膀胱",麻黄,温,"辛,苦","肺,膀胱"
7,附子 干姜,附子,热,"辛,甘","心,肾,脾",干姜,热,辛,"脾,胃,肾,心,肺"
8,杜仲 续断,杜仲,温,甘,"肝,肾",续断,温,"苦,辛","肝,肾"
9,当归 肉桂,当归,温,"甘,辛","肝,心,脾",肉桂,热,"辛,甘","肾,脾,心,肝"
10,白术 肉桂,白术,温,"苦,甘","脾,胃",肉桂,热,"辛,甘","肾,脾,心,肝"
11,附子 生姜,附子,热,"辛,甘","心,肾,脾",生姜,温,辛,"肺,脾,胃"
12,川芎 羌活,川芎,温,辛,"肝,胆,心包",羌活,温,"辛,苦","膀胱,肾"
13,补骨脂 人参,补骨脂,温,"辛,苦","肾,脾",人参,温,"甘,苦","脾,肺,心,肾"
14,附子 肉桂,附子,热,"辛,甘","心,肾,脾",肉桂,热,"辛,甘","肾,脾,心,肝"
15,麻黄 肉桂,麻黄,温,"辛,苦","肺,膀胱",肉桂,热,"辛,甘","肾,脾,心,肝"
16,肉桂 石菖蒲,肉桂,热,"辛,甘","肾,脾,心,肝",石菖蒲,温,"辛,苦","心,胃"
17,草乌 小茴香,草乌,热,"辛,苦","心,肝,肾,脾",小茴香,温,辛,"肝,肾,脾,胃"
18,补骨脂 杜仲,补骨脂,温,"辛,苦","肾,脾",杜仲,温,甘,"肝,肾"
19,杜仲 五味子,杜仲,温,甘,"肝,肾",五味子,温,"酸,甘","肺,心,肾"
20,杜仲 菟丝子,杜仲,温,甘,"肝,肾",菟丝子,平,"辛,甘","肝,肾,脾"
21,巴戟天 菟丝子,巴戟天,温,"甘,辛","肾,肝",菟丝子,平,"辛,甘","肝,肾,脾"
22,菟丝子 五味子,菟丝子,平,"辛,甘","肝,肾,脾",五味子,温,"酸,甘","肺,心,肾"
23,枸杞子 菟丝子,枸杞子,平,甘,"肝,肾",菟丝子,平,"辛,甘","肝,肾,脾"
24,桂枝 吴茱萸,桂枝,温,"辛,甘","心,肺,膀胱",吴茱萸,热,"辛,苦","肝,脾,胃,肾"
25,当归 附子,当归,温,"甘,辛","肝,心,脾",附子,热,"辛,甘","心,肾,脾"
26,人参 吴茱萸,人参,温,"甘,苦","脾,肺,心,肾",吴茱萸,热,"辛,苦","肝,脾,胃,肾"
27,茯苓 吴茱萸,茯苓,平,甘,"心,肺,脾,肾",吴茱萸,热,"辛,苦","肝,脾,胃,肾"
28,花椒 吴茱萸,花椒,温,辛,"脾,胃,肾",吴茱萸,热,"辛,苦","肝,脾,胃,肾"
29,当归 吴茱萸,当归,温,"甘,辛","肝,心,脾",吴茱萸,热,"辛,苦","肝,脾,胃,肾"
