ID of herb pairs,herb pairs
0,香附 紫苏梗
1,檀香 香附
2,半夏 陈皮
3,陈皮 木香
4,艾叶 香附
5,当归 香附
6,陈皮 生姜
7,香附 延胡索
8,川楝子 香附
9,陈皮 桑白皮
10,陈皮 竹茹
11,白芍 香附
12,瓜蒌 薤白
13,陈皮 青皮
14,川楝子 小茴香
15,木香 香附
16,乌药 香附
17,川楝子 延胡索
18,木香 乌药
19,沉香 木香
20,沉香 乌药
21,郁金 枳壳
22,沉香 丁香
23,大黄 木香
24,槟榔 木香
25,黄连 香附
26,沉香 香附
27,木瓜 木香
28,莱菔子 木香
29,香附 枳壳
30,木香 枳壳
31,砂仁 香橼
32,陈皮 枳壳
33,赤芍 香附
34,蒲黄 香附
35,天南星 香附
36,天南星 枳壳
37,瓜蒌 枳壳
38,乳香 枳壳
39,川芎 枳壳
40,生地黄 枳壳
41,天冬 乌药
42,附子 木香
43,槟榔 陈皮
44,茯苓 木香
45,夏枯草 香附
46,大黄 香附
47,黄连 木香
48,苦参 木香
49,黄连 枳壳
50,苦参 枳壳
51,黄芩 枳壳
52,陈皮 砂仁
53,陈皮 升麻
54,桔梗 枳壳
55,柴胡 青皮
56,沉香 小茴香
57,丹参 檀香
58,川芎 香附
59,陈皮 番泻叶
60,白术 陈皮
61,丹参 香附
62,苍术 陈皮
63,黄柏 薤白
127,紫苏梗 香附
128,香附 檀香
129,陈皮 半夏
130,木香 陈皮
131,香附 艾叶
132,香附 当归
133,生姜 陈皮
134,延胡索 香附
135,香附 川楝子
136,桑白皮 陈皮
137,竹茹 陈皮
138,香附 白芍
139,薤白 瓜蒌
140,青皮 陈皮
141,小茴香 川楝子
142,香附 木香
143,香附 乌药
144,延胡索 川楝子
145,乌药 木香
146,木香 沉香
147,乌药 沉香
148,枳壳 郁金
149,丁香 沉香
150,木香 大黄
151,木香 槟榔
152,香附 黄连
153,香附 沉香
154,木香 木瓜
155,木香 莱菔子
156,枳壳 香附
157,枳壳 木香
158,香橼 砂仁
159,枳壳 陈皮
160,香附 赤芍
161,香附 蒲黄
162,香附 天南星
163,枳壳 天南星
164,枳壳 瓜蒌
165,枳壳 乳香
166,枳壳 川芎
167,枳壳 生地黄
168,乌药 天冬
169,木香 附子
170,陈皮 槟榔
171,木香 茯苓
172,香附 夏枯草
173,香附 大黄
174,木香 黄连
175,木香 苦参
176,枳壳 黄连
177,枳壳 苦参
178,枳壳 黄芩
179,砂仁 陈皮
180,升麻 陈皮
181,枳壳 桔梗
182,青皮 柴胡
183,小茴香 沉香
184,檀香 丹参
185,香附 川芎
186,番泻叶 陈皮
187,陈皮 白术
188,香附 丹参
189,陈皮 苍术
190,薤白 黄柏
