药对索引,药对,中药1_中药材名称,中药1_性,中药1_味,中药1_归经,中药2_中药材名称,中药2_性,中药2_味,中药2_归经
0,香附 紫苏梗,香附,平,"辛,苦,甘","肝,脾,三焦",紫苏梗,温,辛,"肺,脾"
1,檀香 香附,檀香,温,辛,"脾,胃,心,肺",香附,平,"辛,苦,甘","肝,脾,三焦"
2,半夏 陈皮,半夏,温,辛,"脾,胃,肺",陈皮,温,"苦,辛","肺,脾"
3,陈皮 木香,陈皮,温,"苦,辛","肺,脾",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
4,艾叶 香附,艾叶,温,"辛,苦","肝,脾,肾",香附,平,"辛,苦,甘","肝,脾,三焦"
5,当归 香附,当归,温,"甘,辛","肝,心,脾",香附,平,"辛,苦,甘","肝,脾,三焦"
6,陈皮 生姜,陈皮,温,"苦,辛","肺,脾",生姜,温,辛,"肺,脾,胃"
7,香附 延胡索,香附,平,"辛,苦,甘","肝,脾,三焦",延胡索,温,"辛,苦","肝,脾"
8,川楝子 香附,川楝子,寒,苦,"肝,小肠,膀胱",香附,平,"辛,苦,甘","肝,脾,三焦"
9,陈皮 桑白皮,陈皮,温,"苦,辛","肺,脾",桑白皮,寒,甘,肺
10,陈皮 竹茹,陈皮,温,"苦,辛","肺,脾",竹茹,寒,甘,"脾,肺,胃,心,胆"
11,白芍 香附,白芍,寒,"苦,酸","肝,脾",香附,平,"辛,苦,甘","肝,脾,三焦"
12,瓜蒌 薤白,瓜蒌,寒,"甘,苦","肺,胃,大肠",薤白,温,"辛,苦","心,肺,胃,大肠"
13,陈皮 青皮,陈皮,温,"苦,辛","肺,脾",青皮,温,"苦,辛","肝,胆,胃"
14,川楝子 小茴香,川楝子,寒,苦,"肝,小肠,膀胱",小茴香,温,辛,"肝,肾,脾,胃"
15,木香 香附,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",香附,平,"辛,苦,甘","肝,脾,三焦"
16,乌药 香附,乌药,温,辛,"肺,脾,肾,膀胱",香附,平,"辛,苦,甘","肝,脾,三焦"
17,川楝子 延胡索,川楝子,寒,苦,"肝,小肠,膀胱",延胡索,温,"辛,苦","肝,脾"
18,木香 乌药,木香,温,"辛,苦","脾,胃,大肠,三焦,胆",乌药,温,辛,"肺,脾,肾,膀胱"
19,沉香 木香,沉香,温,"辛,苦","脾,胃,肾",木香,温,"辛,苦","脾,胃,大肠,三焦,胆"
