Latin Name,Nature,Taste,Meridian
Zingiberis Rhizoma,hot,pungent,"Lun.M,H.M,Spl.M,K.M,Sto.M"
Radix Aconiti Lateralis,hot,"pungent,sweet","Spl.M,K.M,H.M"
Viticis Fructus,cold,"bitter,pungent","Liv.M,B.M,Sto.M"
Typhae Pollen,even,sweet,"P.M,Liv.M"
Rhizoma Corydalis,warm,"bitter,pungent","Liv.M,Spl.M"
Olibanum,warm,"bitter,pungent","Spl.M,Liv.M,H.M"
Radix Puerariae,cool,"pungent,sweet","Lun.M,Spl.M,Sto.M"
Rhizoma Cyperi,even,"bitter,pungent,sweet","Liv.M,Spl.M,T.B.M"
Persicae Semen,even,"bitter,sweet","Lar.I.M,Liv.M,H.M"
Lycopi Herba,warm,"bitter,pungent","Liv.M,Spl.M"
Rhizoma Curcumae Longae,warm,"bitter,pungent","Liv.M,Spl.M"
Fructus Aurantii,cold,"bitter,pungent,sour","Spl.M,Sto.M"
Cirsii Herba,cool,"bitter,sweet","Liv.M,H.M"
Linderae Radix,warm,pungent,"Lun.M,K.M,Spl.M,B.M"
Rehmanniae Radix,cold,sweet,"Liv.M,K.M,H.M"
Flos Carthami,warm,pungent,"Liv.M,H.M"
Rhizoma Sparganii,even,"bitter,pungent","Liv.M,Spl.M"
Curcumae Radix,cold,"bitter,pungent","Lun.M,Liv.M,H.M"
Taraxaci Herba,cold,"bitter,sweet","Liv.M,Sto.M"
Stephaniae Tetrandrae Radix,cold,bitter,"Lun.M,B.M"
Radix Et Rhizoma Notopterygii,warm,"bitter,pungent","K.M,B.M"
Semen Lepidii,cold,"bitter,pungent","Lun.M,B.M"
Fructus Sophorae,cold,bitter,"Lar.I.M,Liv.M"
Polygoni Multiflori Radix,warm,"bitter,sour,sweet","Liv.M,K.M,H.M"
Radix Et Rhizoma Rhei,cold,bitter,"P.M,Spl.M,Liv.M,Lar.I.M,Sto.M"
Chuanxiong Rhizoma,warm,pungent,"P.M,Liv.M,G.M"
Radix Angelicae Sinensis,warm,"pungent,sweet","Spl.M,Liv.M,H.M"
Schizonepetae Herba,warm,pungent,"Liv.M,Lun.M"
Lignum Aquilariae Resitum,warm,"bitter,pungent","K.M,Spl.M,Sto.M"
Salviae Miltiorrhizae,cold,bitter,"Liv.M,H.M"
Sappan Lignum,even,"sweet,salty","Spl.M,Liv.M,H.M"
Radix Aconiti Kusnezoffii,hot,"bitter,pungent","Spl.M,Liv.M,K.M,H.M"
"Cinnamomi Ramulus,Ramulus Cinmomi",warm,"pungent,sweet","Lun.M,H.M,B.M"
Radix Achyranthis Bidentatae,even,"bitter,sour,sweet","Liv.M,K.M"
Spi Gleditsiae,warm,pungent,"Liv.M,Sto.M"
Curcumae Rhizoma,warm,"bitter,pungent","Liv.M,Spl.M"
Radix Ginseng,warm,"bitter,sweet","Lun.M,K.M,Spl.M,H.M"
Fructus Anisi Stellati,warm,pungent,"Liv.M,K.M,Spl.M,Sto.M"
Draconis Sanguis,even,"sweet,salty","Liv.M,H.M"
Trichosanthis Fructus,cold,"bitter,sweet","Lar.I.M,Lun.M,Sto.M"
Folium Nelumbinis,even,bitter,"Liv.M,Spl.M,Sto.M"
Herba Leonuri,cold,"bitter,pungent","P.M,Liv.M,B.M"
Astragali Radix,warm,sweet,"Lun.M,Spl.M"
