Channel1,Channel2,Count
H.M,Liv.M,46
Liv.M,Sto.M,46
Liv.M,Lun.M,44
Lun.M,Sto.M,40
H.M,Sto.M,38
Lun.M,Spl.M,36
Liv.M,Spl.M,32
G.M,Sto.M,30
H.M,Lun.M,30
H.M,Spl.M,30
Spl.M,Sto.M,30
Sto.M,Sto.M,30
G.M,H.M,28
H.M,Lar.I.M,28
Lar.I.M,Sto.M,26
Lar.I.M,Liv.M,24
Lar.I.M,Lun.M,24
Liv.M,Liv.M,24
G.M,Lun.M,22
H.M,H.M,22
G.M,Lar.I.M,20
Lar.I.M,Spl.M,20
Lun.M,Lun.M,20
G.M,Spl.M,18
K.M,Sto.M,18
Lar.I.M,Lar.I.M,18
B.M,Sto.M,16
G.M,Liv.M,16
B.M,Liv.M,14
H.M,K.M,14
Spl.M,Spl.M,14
K.M,Liv.M,12
B.M,H.M,10
B.M,Lun.M,10
B.M,Spl.M,10
K.M,K.M,10
K.M,Lun.M,10
B.M,G.M,8
B.M,Lar.I.M,8
H.M,P.M,8
H.M,Sma.I.M,8
Lar.I.M,Sma.I.M,8
Lun.M,P.M,8
Sma.I.M,Spl.M,8
Sma.I.M,Sto.M,8
B.M,K.M,6
G.M,T.B.M,6
K.M,Lar.I.M,6
K.M,Spl.M,6
Lar.I.M,P.M,6
Lar.I.M,T.B.M,6
Liv.M,Sma.I.M,6
Liv.M,T.B.M,6
Lun.M,Sma.I.M,6
P.M,Sto.M,6
Spl.M,T.B.M,6
B.M,B.M,4
G.M,G.M,4
G.M,K.M,4
G.M,P.M,4
G.M,Sma.I.M,4
Liv.M,P.M,4
P.M,Spl.M,4
Sto.M,T.B.M,4
B.M,Sma.I.M,2
H.M,T.B.M,2
Lun.M,T.B.M,2
P.M,Sma.I.M,2
P.M,T.B.M,2
Sma.I.M,Sma.I.M,2
Sma.I.M,T.B.M,2
