Latin Name,Nature,Taste,Meridian
Gentianae Radix Et Rhizoma,cold,bitter,"Liv.M,G.M"
Akebiae Caulis,cold,bitter,"Sma.I.M,B.M,H.M"
Lonicerae Japonicae Flos,cold,sweet,"Lun.M,H.M,Sto.M"
Rhizoma Phragmitis,cold,sweet,"Lun.M,Sto.M"
Radix Glycyrrhizae,even,sweet,"Lun.M,Spl.M,H.M,Sto.M"
Radix Et Rhizoma Rhei,cold,bitter,"P.M,Lar.I.M,Sto.M,Liv.M,Spl.M"
Cortex Phellodendri,cold,bitter,"B.M,K.M"
Saposhnikoviae Radix,warm,"pungent,sweet","Liv.M,Spl.M,B.M"
Ophiopogonis Radix,cold,"sweet,bitter","Lun.M,H.M,Sto.M"
Radix Scutellariae,cold,bitter,"Lar.I.M,Lun.M,Sma.I.M,Spl.M,G.M"
Uncariae Ramulus Cumuncis,cool,sweet,"Liv.M,P.M"
Rhizoma Belamcandae,cold,bitter,Lun.M
Isatidis Radix,cold,bitter,"H.M,Sto.M"
Radix Scrophulariae,cold,"sweet,salty,bitter","Lun.M,K.M,Sto.M"
Atractylodis Rhizoma,warm,"pungent,bitter","Liv.M,Spl.M,Sto.M"
Radix Angelicae Pubescentis,warm,"pungent,bitter","B.M,K.M"
Taraxaci Herba,cold,"sweet,bitter","Liv.M,Sto.M"
Fructus Gardeniae,cold,bitter,"Lun.M,T.B.M,H.M"
Cortex Magnoliae Officilis,warm,"pungent,bitter","Lun.M,Lar.I.M,Spl.M,Sto.M"
Prunellae Spica,cold,"pungent,bitter","Liv.M,G.M"
Schizonepetae Herba,warm,pungent,"Lun.M,Liv.M"
Rehmanniae Radix,cold,sweet,"Liv.M,H.M,K.M"
Lycii Cortex,cold,sweet,"Lun.M,Liv.M,K.M"
Chrysanthemi Flos,cold,"sweet,bitter","Lun.M,Liv.M"
Rhizoma Imperatae,cold,sweet,"Lun.M,B.M,Sto.M"
Radix Angelicae Dahuricae,warm,pungent,"Lun.M,Lar.I.M,Sto.M"
Sanguisorbae Radix,cold,"sour,bitter","Liv.M,Lar.I.M"
Radix Bupleuri,cold,"pungent,bitter","Lun.M,Liv.M,G.M"
Herba Menthae,cool,pungent,"Lun.M,Liv.M"
Rhizoma Coptidis,cold,bitter,"Sto.M,Lar.I.M,Liv.M,H.M,Spl.M,G.M"
Radix Puerariae,cool,"pungent,sweet","Lun.M,Spl.M,Sto.M"
Picrorhizae Rhizoma,cold,bitter,"Lar.I.M,Liv.M,Sto.M"
Forsythiae Fructus,cold,bitter,"Lun.M,Sma.I.M,H.M"
Cimicifugae Rhizoma,cold,"pungent,sweet","Lun.M,Lar.I.M,Spl.M,Sto.M"
Dendrobii Caulis,cold,sweet,"K.M,Sto.M"
Radix Sophorae Flavescentis,cold,bitter,"Lar.I.M,Sto.M,Liv.M,B.M,H.M"
Rhizoma Anemarrhee,cold,"sweet,bitter","Lun.M,K.M,Sto.M"
Arnebiae Radix,cold,"sweet,salty","Liv.M,H.M"
Violae Herba,cold,"pungent,bitter","Liv.M,H.M"
Folium Isatidis,cold,bitter,"H.M,Sto.M"
