Latin Name,Nature,Taste,Meridian
Rhizoma Acori Talarinowii,warm,"bitter,pungent","H.M,Sto.M"
Atractylodis Macrocephalae Rhizoma,warm,"bitter,sweet","Sto.M,Spl.M"
Radix Et Rhizoma Notopterygii,warm,"bitter,pungent","B.M,K.M"
Zingiberis Rhizoma Recens,warm,pungent,"Lun.M,Sto.M,Spl.M"
Euodiae Fructus,hot,"bitter,pungent","Liv.M,Sto.M,K.M,Spl.M"
Herba Asari,warm,pungent,"Lun.M,H.M,K.M"
Foeniculi Fructus,warm,pungent,"Liv.M,Sto.M,K.M,Spl.M"
Radix Glycyrrhizae,even,sweet,"Lun.M,H.M,Sto.M,Spl.M"
Morindae Officinalis Radix,warm,"sweet,pungent","Liv.M,K.M"
Zingiberis Rhizoma,hot,pungent,"Lun.M,K.M,Sto.M,Spl.M,H.M"
Schisandrae Chinensis Fructus,warm,"sour,sweet","Lun.M,H.M,K.M"
Chuanxiong Rhizoma,warm,pungent,"Liv.M,G.M,P.M"
Cuscutae Semen,even,"sweet,pungent","Liv.M,K.M,Spl.M"
Psoraleae Fructus,warm,"bitter,pungent","K.M,Spl.M"
Astragali Radix,warm,sweet,"Lun.M,Spl.M"
Dipsaci Radix,warm,"bitter,pungent","Liv.M,K.M"
Cinnamomi Ramulus,warm,"sweet,pungent","Lun.M,B.M,H.M"
Radix Angelicae Sinensis,warm,"sweet,pungent","Liv.M,H.M,Spl.M"
Poria,even,",sweet","Lun.M,H.M,K.M,Spl.M"
Radix Ginseng,warm,"bitter,sweet","Lun.M,H.M,K.M,Spl.M"
Armeniacae Semen Amarum,warm,bitter,"Lun.M,Lar.I.M"
Lycii Fructus,even,sweet,"Liv.M,K.M"
Radix Aconiti Kusnezoffii,hot,"bitter,pungent","Liv.M,H.M,K.M,Spl.M"
Alpiniae Katsumadai Semen,warm,pungent,"Sto.M,Spl.M"
Bulbus Allii Macrostemi,warm,"bitter,pungent","Lun.M,Lar.I.M,H.M,Sto.M"
Radix Aconiti Lateralis,hot,"sweet,pungent","H.M,K.M,Spl.M"
Herba Ephedrae,warm,"bitter,pungent","Lun.M,B.M"
Cortex Eucommiae,warm,sweet,"Liv.M,K.M"
Cortex Cinmomi,hot,"sweet,pungent","Liv.M,H.M,K.M,Spl.M"
Zanthoxyli Pericarpium,warm,pungent,"Sto.M,K.M,Spl.M"
