Channel1,Channel2,Count
Spl.M,Spl.M,78
Spl.M,Sto.M,76
Liv.M,Spl.M,74
Lun.M,Spl.M,52
Lun.M,Sto.M,48
Spl.M,T.B.M,46
Lar.I.M,Spl.M,44
Liv.M,Sto.M,44
G.M,Spl.M,38
Liv.M,T.B.M,36
Liv.M,Liv.M,32
H.M,Spl.M,30
K.M,Spl.M,28
Sto.M,Sto.M,26
Sto.M,T.B.M,26
Lar.I.M,Sto.M,24
G.M,Sto.M,22
H.M,Sto.M,22
G.M,Liv.M,18
K.M,Sto.M,18
B.M,Spl.M,16
H.M,T.B.M,16
Lar.I.M,Lun.M,16
Liv.M,Lun.M,16
Lun.M,T.B.M,16
G.M,Lun.M,14
K.M,T.B.M,14
Lar.I.M,Liv.M,14
Lar.I.M,T.B.M,14
Lun.M,Lun.M,14
B.M,Sto.M,12
K.M,Liv.M,12
K.M,Lun.M,12
G.M,T.B.M,10
H.M,Lar.I.M,10
H.M,Liv.M,10
K.M,Lar.I.M,10
Lar.I.M,Lar.I.M,10
P.M,Spl.M,10
B.M,Liv.M,8
B.M,T.B.M,8
G.M,H.M,8
G.M,K.M,8
G.M,Lar.I.M,8
K.M,K.M,8
P.M,T.B.M,8
Sma.I.M,Spl.M,8
B.M,K.M,6
B.M,Lar.I.M,6
H.M,Lun.M,6
Liv.M,P.M,6
Liv.M,Sma.I.M,6
B.M,G.M,4
B.M,Lun.M,4
G.M,G.M,4
P.M,Sto.M,4
Sma.I.M,Sto.M,4
B.M,H.M,2
G.M,P.M,2
H.M,H.M,2
H.M,K.M,2
K.M,Sma.I.M,2
Lar.I.M,P.M,2
Sma.I.M,T.B.M,2
T.B.M,T.B.M,2
