Latin Name,Nature,Taste,Meridian
Poria,even,",sweet","K.M,Spl.M,Lun.M,H.M"
Radix Sophorae Flavescentis,cold,bitter,"H.M,Sto.M,Liv.M,B.M,Lar.I.M"
Prunellae Spica,cold,"bitter,pungent","G.M,Liv.M"
Arecae Semen,warm,"bitter,pungent","Sto.M,Lar.I.M"
Raphani Semen,even,"sweet,pungent","Spl.M,Sto.M,Lun.M"
Foeniculi Fructus,warm,pungent,"K.M,Spl.M,Sto.M,Liv.M"
Bulbus Allii Macrostemi,warm,"bitter,pungent","Sto.M,Lar.I.M,Lun.M,H.M"
Sennae Folium,cold,"bitter,sweet",Lar.I.M
Fructus Aurantii,cold,"sour,bitter,pungent","Spl.M,Sto.M"
Radix Bupleuri,cold,"bitter,pungent","G.M,Liv.M,Lun.M"
Toosendan Fructus,cold,bitter,"Sma.I.M,Liv.M,B.M"
Scutellariae Radix,cold,bitter,"Sma.I.M,Lun.M,G.M,Spl.M,Lar.I.M"
Radix Angelicae Sinensis,warm,"sweet,pungent","Spl.M,Liv.M,H.M"
Curcumae Radix,cold,"bitter,pungent","Liv.M,Lun.M,H.M"
Zingiberis Rhizoma Recens,warm,pungent,"Spl.M,Sto.M,Lun.M"
Rhizoma Corydalis,warm,"bitter,pungent","Spl.M,Liv.M"
Radix Aucklandiae,warm,"bitter,pungent","Spl.M,G.M,Sto.M,T.B.M,Lar.I.M"
Radix Paeoniae Alba,cold,"sour,bitter","Spl.M,Liv.M"
Asparagi Radix,cold,"bitter,sweet","K.M,Lun.M"
Citri Fructus,warm,"sour,bitter,pungent","Spl.M,Liv.M,Lun.M"
Citri Reticulatae Pericarpium Viride,warm,"bitter,pungent","G.M,Sto.M,Liv.M"
Typhae Pollen,even,sweet,"P.M,Liv.M"
Atractylodis Macrocephalae Rhizoma,warm,"bitter,sweet","Spl.M,Sto.M"
Chuanxiong Rhizoma,warm,pungent,"G.M,P.M,Liv.M"
Rhizoma Coptidis,cold,bitter,"H.M,G.M,Sto.M,Liv.M,Spl.M,Lar.I.M"
Citri Reticulatae Pericarpium,warm,"bitter,pungent","Spl.M,Lun.M"
Rhizoma Pinelliae,warm,pungent,"Spl.M,Sto.M,Lun.M"
Trichosanthis Fructus,cold,"bitter,sweet","Sto.M,Lar.I.M,Lun.M"
Lignum Aquilariae Resitum,warm,"bitter,pungent","K.M,Spl.M,Sto.M"
Mori Cortex,cold,sweet,Lun.M
Bambusae Caulis In Taenias,cold,sweet,"Lun.M,H.M,G.M,Sto.M,Spl.M"
Radix Aconiti Lateralis,hot,"sweet,pungent","K.M,Spl.M,H.M"
Rhizoma Cyperi,even,"bitter,sweet,pungent","T.B.M,Spl.M,Liv.M"
Santali Albi Lignum,warm,pungent,"Spl.M,Sto.M,Lun.M,H.M"
Flos Caryophylli,warm,pungent,"K.M,Spl.M,Sto.M,Lun.M"
Radix Platycodi,even,"bitter,pungent",Lun.M
Rehmanniae Radix,cold,sweet,"K.M,Liv.M,H.M"
Radix Et Rhizoma Rhei,cold,bitter,"Sto.M,Liv.M,Spl.M,Lar.I.M,P.M"
Rhizoma Arisaematis,warm,"bitter,pungent","Spl.M,Liv.M,Lun.M"
Folium Artemisiae Argyi,warm,"bitter,pungent","K.M,Spl.M,Liv.M"
Cortex Phellodendri,cold,bitter,"K.M,B.M"
Cimicifugae Rhizoma,cold,"sweet,pungent","Spl.M,Sto.M,Lar.I.M,Lun.M"
Salviae Miltiorrhizae,cold,bitter,"Liv.M,H.M"
Radix Paeoniae Rubra,cold,bitter,Liv.M
Atractylodis Rhizoma,warm,"bitter,pungent","Spl.M,Sto.M,Liv.M"
Linderae Radix,warm,pungent,"K.M,Spl.M,B.M,Lun.M"
Amomi Fructus,warm,pungent,"K.M,Spl.M,Sto.M"
Olibanum,warm,"bitter,pungent","Spl.M,Liv.M,H.M"
Perillae Caulis,warm,pungent,"Spl.M,Lun.M"
Fructus Chaenomelis,warm,sour,"Spl.M,Liv.M"
