Model,FPR,TPR
HCGCN,0,0.137333333
HCGCN,0.005025126,0.137333333
HCGCN,0.010050251,0.137333333
HCGCN,0.015075377,0.137333333
HCGCN,0.020100503,0.137333333
HCGCN,0.025125628,0.137333333
HCGCN,0.030150754,0.137333333
HCGCN,0.035175879,0.137333333
HCGCN,0.040201005,0.137333333
HCGCN,0.045226131,0.137333333
HCGCN,0.050251256,0.137333333
HCGCN,0.055276382,0.137333333
HCGCN,0.060301508,0.137333333
HCGCN,0.065326633,0.137333333
HCGCN,0.070351759,0.137333333
HCGCN,0.075376884,0.137333333
HCGCN,0.08040201,0.137333333
HCGCN,0.085427136,0.137333333
HCGCN,0.090452261,0.137333333
HCGCN,0.095477387,0.137333333
HCGCN,0.100502513,0.160410256
HCGCN,0.105527638,0.160410256
HCGCN,0.110552764,0.160410256
HCGCN,0.115577889,0.160410256
HCGCN,0.120603015,0.160410256
HCGCN,0.125628141,0.310410256
HCGCN,0.130653266,0.310410256
HCGCN,0.135678392,0.310410256
HCGCN,0.140703518,0.310410256
HCGCN,0.145728643,0.358410256
HCGCN,0.150753769,0.358410256
HCGCN,0.155778894,0.358410256
HCGCN,0.16080402,0.358410256
HCGCN,0.165829146,0.358410256
HCGCN,0.170854271,0.370910256
HCGCN,0.175879397,0.370910256
HCGCN,0.180904523,0.370910256
HCGCN,0.185929648,0.370910256
HCGCN,0.190954774,0.370910256
HCGCN,0.195979899,0.370910256
HCGCN,0.201005025,0.432448718
HCGCN,0.206030151,0.432448718
HCGCN,0.211055276,0.432448718
HCGCN,0.216080402,0.432448718
HCGCN,0.221105528,0.432448718
HCGCN,0.226130653,0.432448718
HCGCN,0.231155779,0.432448718
HCGCN,0.236180905,0.432448718
HCGCN,0.24120603,0.432448718
HCGCN,0.246231156,0.432448718
HCGCN,0.251256281,0.524115385
HCGCN,0.256281407,0.524115385
HCGCN,0.261306533,0.524115385
HCGCN,0.266331658,0.524115385
HCGCN,0.271356784,0.524115385
HCGCN,0.27638191,0.524115385
HCGCN,0.281407035,0.524115385
HCGCN,0.286432161,0.564115385
HCGCN,0.291457286,0.564115385
HCGCN,0.296482412,0.564115385
HCGCN,0.301507538,0.648730769
HCGCN,0.306532663,0.648730769
HCGCN,0.311557789,0.648730769
HCGCN,0.316582915,0.648730769
HCGCN,0.32160804,0.648730769
HCGCN,0.326633166,0.648730769
HCGCN,0.331658291,0.648730769
HCGCN,0.336683417,0.748730769
HCGCN,0.341708543,0.748730769
HCGCN,0.346733668,0.748730769
HCGCN,0.351758794,0.748730769
HCGCN,0.35678392,0.748730769
HCGCN,0.361809045,0.748730769
HCGCN,0.366834171,0.748730769
HCGCN,0.371859296,0.748730769
HCGCN,0.376884422,0.807064103
HCGCN,0.381909548,0.807064103
HCGCN,0.386934673,0.807064103
HCGCN,0.391959799,0.807064103
HCGCN,0.396984925,0.807064103
HCGCN,0.40201005,0.830141026
HCGCN,0.407035176,0.830141026
HCGCN,0.412060302,0.830141026
HCGCN,0.417085427,0.830141026
HCGCN,0.422110553,0.830141026
HCGCN,0.427135678,0.830141026
HCGCN,0.432160804,0.830141026
HCGCN,0.43718593,0.830141026
HCGCN,0.442211055,0.830141026
