Model,Fold,Epoch,Train_Loss,Test_Loss,TPR,FPR
XGBoost,1,10,0.6917,0.6839,1.0000,1.0000
XGBoost,1,20,0.6926,0.6813,1.0000,1.0000
XGBoost,1,30,0.6917,0.6872,1.0000,1.0000
XGBoost,1,40,0.6922,0.6821,1.0000,1.0000
XGBoost,1,50,0.6916,0.6863,1.0000,1.0000
XGBoost,1,60,0.6940,0.6954,0.0000,0.0000
XGBoost,1,70,0.6921,0.6896,1.0000,1.0000
XGBoost,1,80,0.6916,0.6851,1.0000,1.0000
XGBoost,1,90,0.6917,0.6871,1.0000,1.0000
XGBoost,1,100,0.6920,0.6824,1.0000,1.0000
XGBoost,1,110,0.6916,0.6862,1.0000,1.0000
XGBoost,1,120,0.6916,0.6849,1.0000,1.0000
XGBoost,1,130,0.6918,0.6833,1.0000,1.0000
XGBoost,1,140,0.6918,0.6882,1.0000,1.0000
XGBoost,1,150,0.6916,0.6850,1.0000,1.0000
XGBoost,1,160,0.6921,0.6823,1.0000,1.0000
XGBoost,1,170,0.6919,0.6827,1.0000,1.0000
XGBoost,1,180,0.6922,0.6821,1.0000,1.0000
XGBoost,1,190,0.6928,0.6921,1.0000,1.0000
XGBoost,1,200,0.6921,0.6824,1.0000,1.0000
XGBoost,1,210,0.6916,0.6862,1.0000,1.0000
XGBoost,1,220,0.6918,0.6880,1.0000,1.0000
XGBoost,1,230,0.6917,0.6871,1.0000,1.0000
XGBoost,1,240,0.6916,0.6846,1.0000,1.0000
XGBoost,1,250,0.6917,0.6870,1.0000,1.0000
XGBoost,1,260,0.6916,0.6849,1.0000,1.0000
XGBoost,1,270,0.6920,0.6890,1.0000,1.0000
XGBoost,1,280,0.6919,0.6886,1.0000,1.0000
XGBoost,1,290,0.6916,0.6845,1.0000,1.0000
XGBoost,1,300,0.6916,0.6846,1.0000,1.0000
XGBoost,1,310,0.6921,0.6824,1.0000,1.0000
XGBoost,1,320,0.6917,0.6835,1.0000,1.0000
XGBoost,1,330,0.6916,0.6850,1.0000,1.0000
XGBoost,1,340,0.6917,0.6876,1.0000,1.0000
XGBoost,1,350,0.6917,0.6876,1.0000,1.0000
XGBoost,1,360,0.6916,0.6842,1.0000,1.0000
XGBoost,1,370,0.6917,0.6837,1.0000,1.0000
XGBoost,1,380,0.6918,0.6880,1.0000,1.0000
XGBoost,1,390,0.6916,0.6841,1.0000,1.0000
XGBoost,1,400,0.6917,0.6837,1.0000,1.0000
XGBoost,1,410,0.6921,0.6894,1.0000,1.0000
XGBoost,1,420,0.6927,0.6917,1.0000,1.0000
XGBoost,1,430,0.6916,0.6853,1.0000,1.0000
XGBoost,1,440,0.6919,0.6829,1.0000,1.0000
XGBoost,1,450,0.6926,0.6813,1.0000,1.0000
XGBoost,1,460,0.6923,0.6904,1.0000,1.0000
XGBoost,1,470,0.6916,0.6868,1.0000,1.0000
XGBoost,1,480,0.6916,0.6868,1.0000,1.0000
XGBoost,1,490,0.6923,0.6817,1.0000,1.0000
XGBoost,1,500,0.6919,0.6828,1.0000,1.0000
Model,Fold,Epoch,Train_Loss,Test_Loss,TPR,FPR
Logistic Regression,1,10,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,20,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,30,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,40,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,50,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,60,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,70,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,80,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,90,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,100,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,110,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,120,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,130,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,140,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,150,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,160,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,170,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,180,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,190,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,200,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,210,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,220,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,230,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,240,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,250,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,260,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,270,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,280,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,290,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,300,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,310,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,320,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,330,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,340,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,350,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,360,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,370,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,380,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,390,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,400,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,410,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,420,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,430,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,440,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,450,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,460,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,470,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,480,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,490,0.2249,0.4891,0.7143,0.2667
Logistic Regression,1,500,0.2249,0.4891,0.7143,0.2667
Naive Bayes,1,500,0.3300,0.4976,0.8571,0.2667
KNN,1,500,0.2495,0.3494,0.8095,0.2000
SVM,1,500,0.3755,0.4701,0.6190,0.2667
XGBoost,2,10,0.6944,0.6730,1.0000,1.0000
XGBoost,2,20,0.6943,0.6733,1.0000,1.0000
XGBoost,2,30,0.6928,0.6837,1.0000,1.0000
XGBoost,2,40,0.6928,0.6853,1.0000,1.0000
XGBoost,2,50,0.6928,0.6850,1.0000,1.0000
XGBoost,2,60,0.6970,0.7129,0.0000,0.0000
XGBoost,2,70,0.6928,0.6880,1.0000,1.0000
XGBoost,2,80,0.6928,0.6888,1.0000,1.0000
XGBoost,2,90,0.6928,0.6875,1.0000,1.0000
XGBoost,2,100,0.6928,0.6880,1.0000,1.0000
XGBoost,2,110,0.6930,0.6917,1.0000,1.0000
XGBoost,2,120,0.6936,0.6966,0.0000,0.0000
XGBoost,2,130,0.6933,0.6780,1.0000,1.0000
XGBoost,2,140,0.6928,0.6881,1.0000,1.0000
XGBoost,2,150,0.6928,0.6893,1.0000,1.0000
XGBoost,2,160,0.6931,0.6926,1.0000,1.0000
XGBoost,2,170,0.6928,0.6837,1.0000,1.0000
XGBoost,2,180,0.6937,0.6756,1.0000,1.0000
XGBoost,2,190,0.6928,0.6893,1.0000,1.0000
XGBoost,2,200,0.6929,0.6822,1.0000,1.0000
