Fold 0,Type,TN,FP,FN,TP,Accuracy,Recall,Precision,F1,AUC
Fold 0,Test,26,3,2,49,0.9375,0.9607843137254902,0.9423076923076923,0.9514563106796117,0.9286680189317107
Fold 1,Test,20,1,1,58,0.975,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.9677158999192897
Fold 2,Test,21,1,0,58,0.9875,1.0,0.9830508474576272,0.9914529914529915,0.9772727272727273
Fold 3,Test,28,1,1,50,0.975,0.9803921568627451,0.9803921568627451,0.9803921568627451,0.9729546991210278
Fold 4,Test,23,2,6,48,0.8987341772151899,0.8888888888888888,0.96,0.923076923076923,0.9044444444444445
Fold 5,Test,17,3,4,55,0.9113924050632911,0.9322033898305084,0.9482758620689655,0.94017094017094,0.8911016949152543
Fold 6,Test,16,0,5,58,0.9367088607594937,0.9206349206349206,1.0,0.9586776859504132,0.9603174603174602
Fold 7,Test,19,3,1,56,0.9493670886075949,0.9824561403508771,0.9491525423728814,0.9655172413793103,0.9230462519936204
Fold 8,Test,17,2,0,60,0.9746835443037974,1.0,0.967741935483871,0.9836065573770492,0.9473684210526316
Fold 9,Test,15,4,0,60,0.9493670886075949,1.0,0.9375,0.967741935483871,0.8947368421052632
