Model,Fold,FPR,TPR
XGBoost,1,0.000000,0.000000
XGBoost,1,0.000000,0.008403
XGBoost,1,0.000000,0.184874
XGBoost,1,0.025000,0.184874
XGBoost,1,0.025000,0.260504
XGBoost,1,0.050000,0.260504
XGBoost,1,0.050000,0.277311
XGBoost,1,0.050000,0.302521
XGBoost,1,0.100000,0.302521
XGBoost,1,0.100000,0.319328
XGBoost,1,0.150000,0.319328
XGBoost,1,0.150000,0.369748
XGBoost,1,0.175000,0.369748
XGBoost,1,0.175000,0.386555
XGBoost,1,0.200000,0.386555
XGBoost,1,0.200000,0.403361
XGBoost,1,0.225000,0.403361
XGBoost,1,0.225000,0.420168
XGBoost,1,0.225000,0.504202
XGBoost,1,0.250000,0.504202
XGBoost,1,0.250000,0.563025
XGBoost,1,0.300000,0.563025
XGBoost,1,0.300000,0.596639
XGBoost,1,0.350000,0.596639
XGBoost,1,0.350000,0.655462
XGBoost,1,0.375000,0.655462
XGBoost,1,0.375000,0.689076
XGBoost,1,0.400000,0.689076
XGBoost,1,0.400000,0.731092
XGBoost,1,0.425000,0.731092
XGBoost,1,0.425000,0.764706
XGBoost,1,0.500000,0.764706
XGBoost,1,0.500000,0.773109
XGBoost,1,0.525000,0.773109
XGBoost,1,0.525000,0.857143
XGBoost,1,0.550000,0.857143
XGBoost,1,0.550000,0.873950
XGBoost,1,0.550000,0.890756
XGBoost,1,0.575000,0.890756
XGBoost,1,0.575000,0.899160
XGBoost,1,0.650000,0.899160
XGBoost,1,0.650000,0.907563
XGBoost,1,0.675000,0.907563
XGBoost,1,0.675000,0.932773
XGBoost,1,0.700000,0.932773
XGBoost,1,0.700000,0.949580
XGBoost,1,0.725000,0.949580
XGBoost,1,0.725000,0.957983
XGBoost,1,0.825000,0.957983
XGBoost,1,0.825000,0.974790
XGBoost,1,0.850000,0.974790
XGBoost,1,0.850000,0.983193
XGBoost,1,0.875000,0.983193
XGBoost,1,0.875000,0.991597
XGBoost,1,0.900000,0.991597
XGBoost,1,0.900000,1.000000
XGBoost,1,1.000000,1.000000
Logistic Regression,1,0.000000,0.000000
Logistic Regression,1,0.000000,0.008403
Logistic Regression,1,0.000000,0.025210
Logistic Regression,1,0.000000,0.310924
Logistic Regression,1,0.000000,0.327731
Logistic Regression,1,0.000000,0.378151
Logistic Regression,1,0.025000,0.378151
Logistic Regression,1,0.025000,0.428571
Logistic Regression,1,0.050000,0.428571
Logistic Regression,1,0.050000,0.436975
Logistic Regression,1,0.075000,0.436975
Logistic Regression,1,0.075000,0.504202
Logistic Regression,1,0.100000,0.504202
Logistic Regression,1,0.100000,0.579832
Logistic Regression,1,0.125000,0.579832
Logistic Regression,1,0.125000,0.588235
Logistic Regression,1,0.150000,0.588235
Logistic Regression,1,0.150000,0.596639
