Model,FPR,TPR
XGBoost,0.000000,0.170673
XGBoost,0.021739,0.175983
XGBoost,0.022727,0.190018
XGBoost,0.024390,0.191713
XGBoost,0.025000,0.206839
XGBoost,0.039216,0.221654
XGBoost,0.043478,0.223424
XGBoost,0.045455,0.232196
XGBoost,0.050000,0.240599
XGBoost,0.058824,0.240599
XGBoost,0.065217,0.242369
XGBoost,0.073171,0.272877
XGBoost,0.090909,0.272877
XGBoost,0.097561,0.279657
XGBoost,0.098039,0.283361
XGBoost,0.100000,0.286722
XGBoost,0.108696,0.290262
XGBoost,0.113636,0.297279
XGBoost,0.117647,0.299131
XGBoost,0.121951,0.317775
XGBoost,0.136364,0.321284
XGBoost,0.137255,0.336099
XGBoost,0.146341,0.339489
XGBoost,0.150000,0.349573
XGBoost,0.152174,0.383201
XGBoost,0.159091,0.386710
XGBoost,0.170732,0.390100
XGBoost,0.173913,0.406029
XGBoost,0.175000,0.409390
XGBoost,0.176471,0.414946
XGBoost,0.181818,0.418455
XGBoost,0.195122,0.425234
XGBoost,0.196078,0.428938
XGBoost,0.200000,0.432299
XGBoost,0.204545,0.434054
XGBoost,0.215686,0.435906
XGBoost,0.217391,0.444755
XGBoost,0.219512,0.458314
XGBoost,0.225000,0.478482
XGBoost,0.227273,0.485500
XGBoost,0.235294,0.492907
XGBoost,0.239130,0.499987
XGBoost,0.243902,0.503377
XGBoost,0.250000,0.515142
XGBoost,0.260870,0.534611
XGBoost,0.268293,0.541390
XGBoost,0.272727,0.555425
XGBoost,0.274510,0.557277
XGBoost,0.282609,0.559047
XGBoost,0.292683,0.560742
XGBoost,0.294118,0.599631
XGBoost,0.295455,0.603140
XGBoost,0.300000,0.609862
XGBoost,0.304348,0.611632
XGBoost,0.313725,0.626447
XGBoost,0.317073,0.643396
XGBoost,0.318182,0.657431
XGBoost,0.326087,0.664511
XGBoost,0.340909,0.680300
XGBoost,0.341463,0.681995
XGBoost,0.350000,0.693760
XGBoost,0.352941,0.697464
XGBoost,0.363636,0.706236
XGBoost,0.365854,0.723185
XGBoost,0.372549,0.730592
XGBoost,0.375000,0.737315
XGBoost,0.386364,0.744333
XGBoost,0.390244,0.746027
XGBoost,0.392157,0.747879
XGBoost,0.400000,0.756283
XGBoost,0.409091,0.758037
XGBoost,0.411765,0.761741
XGBoost,0.413043,0.761741
XGBoost,0.425000,0.768463
XGBoost,0.434783,0.770233
XGBoost,0.439024,0.783793
XGBoost,0.454545,0.792565
XGBoost,0.463415,0.792565
XGBoost,0.477273,0.801337
XGBoost,0.478261,0.806646
XGBoost,0.490196,0.810350
XGBoost,0.500000,0.812031
XGBoost,0.512195,0.812031
XGBoost,0.521739,0.819110
XGBoost,0.522727,0.820865
XGBoost,0.525000,0.837671
XGBoost,0.529412,0.839523
XGBoost,0.543478,0.841293
XGBoost,0.545455,0.844802
XGBoost,0.549020,0.850357
XGBoost,0.550000,0.857080
XGBoost,0.565217,0.860620
XGBoost,0.568182,0.864129
XGBoost,0.568627,0.867832
XGBoost,0.575000,0.869513
XGBoost,0.588235,0.873217
XGBoost,0.608696,0.874987
XGBoost,0.609756,0.876682
XGBoost,0.627451,0.878534
XGBoost,0.630435,0.885613
XGBoost,0.634146,0.887308
XGBoost,0.636364,0.889062
XGBoost,0.647059,0.894618
XGBoost,0.650000,0.896299
XGBoost,0.659091,0.901562
XGBoost,0.666667,0.910821
XGBoost,0.673913,0.912591
XGBoost,0.675000,0.917633
XGBoost,0.681818,0.919387
XGBoost,0.682927,0.922777
XGBoost,0.700000,0.926139
XGBoost,0.704545,0.926139
XGBoost,0.725000,0.927819
XGBoost,0.725490,0.929671
XGBoost,0.731707,0.931366
XGBoost,0.745098,0.935070
XGBoost,0.750000,0.940333
XGBoost,0.760870,0.947413
XGBoost,0.772727,0.954430
XGBoost,0.784314,0.956282
XGBoost,0.795455,0.959791
XGBoost,0.803922,0.961643
XGBoost,0.804878,0.963337
XGBoost,0.818182,0.965092
XGBoost,0.825000,0.968453
XGBoost,0.840909,0.975471
XGBoost,0.850000,0.977151
XGBoost,0.863636,0.978906
XGBoost,0.875000,0.980586
XGBoost,0.882353,0.984290
XGBoost,0.886364,0.986045
XGBoost,0.900000,0.987725
XGBoost,0.909091,0.989480
XGBoost,0.926829,0.991175
XGBoost,0.931818,0.994683
XGBoost,0.956522,0.996453
XGBoost,0.975610,0.998148
XGBoost,1.000000,1.000000
Logistic Regression,0.000000,0.180293
Logistic Regression,0.019608,0.256219
Logistic Regression,0.021739,0.323476
Logistic Regression,0.024390,0.331951
Logistic Regression,0.025000,0.342035
Logistic Regression,0.039216,0.343886
Logistic Regression,0.043478,0.377515
Logistic Regression,0.045455,0.377515
Logistic Regression,0.050000,0.379195
Logistic Regression,0.065217,0.388045
Logistic Regression,0.068182,0.391554
Logistic Regression,0.073171,0.413588
Logistic Regression,0.075000,0.427033
Logistic Regression,0.078431,0.430737
Logistic Regression,0.090909,0.513193
Logistic Regression,0.097561,0.543701
Logistic Regression,0.100000,0.558827
Logistic Regression,0.108696,0.562367
Logistic Regression,0.117647,0.569775
Logistic Regression,0.121951,0.591809
Logistic Regression,0.125000,0.593489
Logistic Regression,0.130435,0.595259
Logistic Regression,0.136364,0.607540
Logistic Regression,0.137255,0.631614
Logistic Regression,0.150000,0.633295
Logistic Regression,0.152174,0.635064
Logistic Regression,0.170732,0.638454
Logistic Regression,0.175000,0.640135
Logistic Regression,0.176471,0.640135
Logistic Regression,0.181818,0.652416
Logistic Regression,0.195652,0.677194
Logistic Regression,0.200000,0.685598
Logistic Regression,0.204545,0.692615
Logistic Regression,0.227273,0.701387
Logistic Regression,0.235294,0.703239
Logistic Regression,0.239130,0.703239
Logistic Regression,0.243902,0.706629
Logistic Regression,0.250000,0.711671
Logistic Regression,0.254902,0.715375
Logistic Regression,0.274510,0.717226
Logistic Regression,0.275000,0.723949
Logistic Regression,0.282609,0.723949
Logistic Regression,0.292683,0.727339
Logistic Regression,0.294118,0.729191
Logistic Regression,0.295455,0.736208
Logistic Regression,0.300000,0.747973
Logistic Regression,0.313725,0.747973
Logistic Regression,0.317073,0.747973
Logistic Regression,0.318182,0.753236
Logistic Regression,0.325000,0.763320
Logistic Regression,0.326087,0.770400
Logistic Regression,0.340909,0.773909
Logistic Regression,0.350000,0.789035
Logistic Regression,0.352941,0.789035
Logistic Regression,0.365854,0.802594
Logistic Regression,0.369565,0.807904
Logistic Regression,0.372549,0.811608
Logistic Regression,0.386364,0.815116
Logistic Regression,0.390244,0.820201
Logistic Regression,0.391304,0.821971
Logistic Regression,0.392157,0.825675
Logistic Regression,0.400000,0.830717
Logistic Regression,0.409091,0.834225
Logistic Regression,0.411765,0.837929
Logistic Regression,0.425000,0.842971
Logistic Regression,0.431373,0.859638
Logistic Regression,0.431818,0.863147
Logistic Regression,0.439024,0.864842
Logistic Regression,0.450000,0.866522
Logistic Regression,0.450980,0.872078
Logistic Regression,0.454545,0.879095
Logistic Regression,0.478261,0.880865
Logistic Regression,0.490196,0.882717
Logistic Regression,0.500000,0.889587
