ingredient	target
2-[2-[[17-[2-[6-[[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-6-methylhept-5-en-2-yl]-12-hydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	CYP2C9|FOS
2-phenylethanamine	CNR2|PPARA|HTR2A|CNR1
[1-(5,8-dihydroxy-1,4-dioxonaphthalen-2-yl)-4-methylpent-3-enyl] 3-hydroxy-3-methylbutanoate	CASP8|MAPK1|EGFR|PLK1|CASP9|DUT|CASP3
(6S,7aR)-6-hydroxy-4,4,7a-trimethyl-6,7-dihydro-5H-1-benzofuran-2-one	CASP9|CASP8|CASP3
(E)-N-[(2S)-2-hydroxy-2-(4-hydroxyphenyl)ethyl]-3-(4-hydroxy-3-methoxyphenyl)prop-2-enamide	TYR
(2R,3R,4R,5R)-3,4-dimethyl-2,5-bis(3,4,5-trimethoxyphenyl)oxolane	CYP2C9|CYP3A5|CYP3A4
9-(1,3-benzodioxol-5-yl)-4-hydroxy-6,7-dimethoxy-3H-benzo[f][2]benzofuran-1-one	DNAH8
(3R,4R)-4-[(3,4-dimethoxyphenyl)methyl]-3-[[3-methoxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl]oxolan-2-one	MUC1|TYR
(1R,3S,9R,10R,11S,14S,15S,16R)-10-ethyl-14-methyl-3-[(2S,4S)-4-methyl-5-oxooxolan-2-yl]-12-oxa-4-azatetracyclo[7.6.1.04,16.011,15]hexadecan-13-one	ABCB1
(2S,3S,4R,5R,6R)-6-[[(3S,4aR,6aR,6bS,8aS,12aS,14aR,14bR)-4,4,6a,6b,11,11,14b-heptamethyl-8a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3-[(2S,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-4,5-dihydroxyoxane-2-carboxylic acid	REN
(3Z,5E)-6-(3,4-dihydroxyphenyl)-4-hydroxyhexa-3,5-dien-2-one	CTSS|EPHB2|MAPK1
